ID,PINGYING,OFFICE,ILLNESS2010,ILLNESS2009,ILLNESS2008,PHONE,X,Y,SIZE
1,lu gou qiao yi yuan,100072,500,300,100,1083211441,116.240227,39.838136,1
2,yu quan yi yuan,100041,1000,800,600,1088257755,116.24658,39.907778,2
3,er long lu yi yuan,100032,450,250,50,1066014447,116.366238,39.91041,2
4,er tong yi yuan,100045,800,600,400,1068028401,116.356184,39.912765,3
5,fu xing yi yuan,100038,6000,5800,5600,1088062158,116.339846,39.906096,3
6,xie he yi yuan xi yuan,100032,10000,9800,9600,1088068177,116.36736,39.912075,1
7,guang nei yi yuan,100053,6000,5800,5600,1063037685,116.371501,39.894329,1
8,guang wai yi yuan,100055,5000,4800,4600,1063467831,116.330924,39.888597,1
9,hui min yi yuan,100054,800,600,400,1063527755,116.363468,39.882025,2
10,shou du yi ke da xue xuan wu yi yuan,100053,2000,1800,1600,1063012835,116.36314,39.891696,3
11,xuan wu qu bai yun lu yi yuan,100055,800,600,400,1063261607,116.340084,39.896749,1
12,xuan wu lao nian bing yi yuan,100053,800,600,400,1063155721,116.370468,39.898056,1
13,zhong yi yan jiu yuan guang an men yi yuan,100053,500,300,100,1063013311,116.352985,39.890832,3
14,bao ren zhong yi yuan,100055,1000,800,600,1063460856,116.312151,39.887658,1
15,chang feng yi yuan,100071,1500,1300,1100,1088246570,116.280435,39.88924,1
16,dian li zong yi yuan,100071,2000,1500,1300,1063465865,116.315031,39.886223,3
17,feng tai qu yi yuan,100071,2500,2000,1800,1063811115,116.278809,39.848774,2
18,guang ji yi yuan,100071,3000,2500,2300,1083617273,116.329913,39.848233,1
19,he ping yi yuan,100054,3500,3000,2800,1083541590,116.353075,39.858715,1
20,li ze yi yuan,100071,4000,3500,3300,1063307560,116.318001,39.866873,1
21,lu gou qiao guo yi yuan,100073,4500,4000,3800,1063895288,116.284997,39.871341,1
22,yi xing yi yuan,100071,5000,4500,4300,1063846847,116.291831,39.855436,1
23,you an men yi yuan,100071,5500,5000,4800,1083511133,116.362823,39.859177,1
24,you an yi yuan,100071,6000,5500,5300,1083996599,116.355913,39.867574,1
25,you wai yi yuan,100071,1000,800,600,1063554840,116.368787,39.866874,1
26,hang tian zhong xin yi yuan,100041,2000,1800,1600,1068763752,116.252606,39.916584,2
27,shui li bu bei jing zong yi yuan,100036,3000,2800,2600,1088614818,116.307942,39.912988,2
28,xi cui yi yuan,100039,4000,3800,3600,1088278610,116.253297,39.897635,1
29,zhong xi jie he yi yuan,100000,5000,4800,4600,1068212075,116.265515,39.906063,2
30,feng tai qu ying yi yuan xi yuan,100071,6000,5800,5600,1067219766,116.394499,39.858432,1
31,ti tan yi yuan,100078,500,300,100,1067683599,116.438393,39.868764,1
32,tie ying yi yuan,100071,800,600,400,1067631919,116.423561,39.856006,1
33,yan zhu yi yuan,100071,1100,900,700,1067699344,116.455978,39.853406,1
34,yong nan yi yuan,100071,1400,1200,1000,1067213846,116.403968,39.855826,1
35,zhong yi yao da xue dong fang yi yuan,100071,1700,1500,1300,1067689655,116.430884,39.864453,1
36,bei jing an mo yi yuan,100035,2000,1800,1600,1066168880,116.371573,39.934956,1
37,jin song yi yuan,100021,3000,2800,2600,1067783646,116.453368,39.881934,1
38,bei jing da xue yi yuan yan ke zhong xin,100034,3200,3000,2800, ,116.366336,39.924028,3
39,fu wai xin xue guan bing yi yuan,100037,3400,3200,3000,1068314466,116.352907,39.924277,3
40,ren min yi yuan,100044,3600,3400,3200,1068314422,116.354386,39.937581,3
41,xi cheng qu ping an yi yuan,100035,3800,3400,3200,1066184174,116.368002,39.934581,3
42,xiao fang ju yi yuan,100035,4000,3600,3400,1062241188,116.357964,39.940309,2
43,zhan lan lu yi yuan fen yuan,100037,4200,3800,3600,1068352507,116.345968,39.924227,3
44,bei da di liu yi yuan,100083,4400,4000,3800,1062091984,116.357376,39.981766,3
45,bei da di san yi yuan yan ke zhong xin,100083,4600,4200,4000,1062017691,116.361255,39.9819,3
46,bei da kou qiang yi yuan,100081,4800,4400,4200,1062179977,116.324248,39.952475,3
47,bei fang yi yuan,100089,5000,4600,4400,1068963106,116.296554,39.949684,3
48,bei jing da xue di san yi yuan,100083,5200,4800,4600,1062017691,116.359393,39.981915,3
49,bei jing da xue kou qiang yi yuan di san men zhen bu,100083,4300,3900,3700,1082037076,116.369969,39.982548,3
50,hai dian qu zhong yi yuan,100044,4300,3900,3700,1062564032,116.324537,39.969872,3
51,jing min yi yuan,100044,4300,3700,3500,1068411418,116.316176,39.939573,3
52,kong zhi yi yuan,100089,4300,3700,3500,1066924762,116.280226,39.966621,3
53,si ji qing yi yuan,100044,6000,5400,5200,1088434040,116.278949,39.95655,3
54,yu yuan tan yi yuan,100036,2000,1400,1200,1088113920,116.292565,39.925501,3
55,zhong liu yi yuan,100036,5000,4400,4200,1088121122,116.290494,39.923761,3
56,bei jing shi he ping li yi yuan,100013,4500,3900,3700,1064215431,116.413916,39.959063,3
57,bei jing da xue di yi yi yuan zong he men zhen bu,100009,4000,3400,3200,1066551122,116.406279,39.945541,3
58,bei jing di liu yi yuan bei xin qiao yuan qu,100007,3500,2900,2700,1064035566,116.423319,39.940791,3
59,hai dian yi yuan,100000,3000,2400,2200,1062551396,116.315611,39.976346,3
60,di liu yi yuan,100007,2500,1900,1700,1064035566,116.413257,39.94283,3
61,di tan yi yuan,100011,2000,1400,1200,1064211031,116.411849,39.953738,3
62,dong si fu chan yi yuan,100007,1500,900,700,1064049585,116.409012,39.934903,3
63,dong wai yi yuan,100027,1000,400,200,1064609795,116.440585,39.943249,3
64,fu chan yi yuan,100006,500,300,100,1065250731,116.404218,39.920021,3
65,gong an yi yuan,100006,800,600,400,1065133377,116.404769,39.922517,3
66,hang xing yi yuan,100013,1000,800,600,1084221131,116.424128,39.952425,3
67,kou qiang yi yuan yi liao ji tuan dong cheng qu kou qiang yi yuan,100007,1200,1000,800,1064058596,116.416493,39.94648,3
68,shou du yi ke da xue gu lou zhong yi yuan,100009,1400,1200,1000,1084026766,116.3977,39.944082,3
69,zhong yi yao da xue dong zhi men yi yuan,100007,1600,1400,1200,1084013212,116.426535,39.936717,3
70,zhong yi ke xue yuan zhen jiu yi yuan,100700,1800,1600,1400,1064014411,116.427231,39.939898,3
71,zhong yi yan jiu yuan gu ke shang ke yi yuan,100007,2000,1800,1600,1064014411,116.426025,39.937488,3
72,zhong yi yuan,100010,2200,2000,1800,1052176677,116.408225,39.9319,3
73,an ding yi yuan,100088,2400,2200,2000,1062013330,116.375973,39.952255,3
74,bei da di yi yi yuan fu chan er tong yi yuan,100034,7000,6800,6600,1066551122,116.382448,39.922873,3
75,bei da yi yuan nan ke zhong xin,100009,6000,5800,5600,1066116161,116.389953,39.933805,3
76,bei jing da xue di yi yi yuan,100034,8000,7800,7600,1066551122,116.380165,39.931883,3
77,chang qiao yi yuan,100034,7000,6800,6600,1066168155,116.375095,39.931374,3
78,hu guo si zhong yi yuan,100035,6000,5800,5600,1066184261,116.376178,39.936382,3
79,ji shui tan yi yuan,100035,6000,5800,5600,1058516688,116.375979,39.943288,3
80,an zhen yi yuan,100029,5000,4800,4600,1064412431,116.402452,39.973873,3
81,bei jing chao yang da tun yi yuan,100101,3000,2800,2600,1064970007,116.403209,39.998148,3
82,bei jing zang yi yuan,100029,5000,4800,4600,1064933184,116.414403,39.980252,3
83,chao yang qu di san yi yuan,101100,7000,6800,6600,1065855075,116.483033,39.920473,3
84,chao yang qu zhong yi yuan,100020,9000,8800,8600,1065531155,116.445863,39.926691,3
85,chao yang yi yuan,100020,6000,5800,5600,1085231000,116.453126,39.926704,3
86,mei tan zong yi yuan,100028,3000,2800,2600,1064667755,116.435849,39.960213,3
87,san li tun yi yuan,100027,2500,2300,2100,1064179526,116.453607,39.936661,3
88,shou du yi ke da dong qu kou qiang yi yuan,100020,2000,1800,1600,1085616004,116.450072,39.920967,3
89,tai yang gong yi yuan,100028,1500,1300,1100,1064212478,116.435619,39.968729,3
90,xin yuan li yi yuan,100027,1000,800,600,1064672412,116.456571,39.951528,3
91,ya yun cun yi yuan,100101,500,300,100,1064914465,116.414265,39.991235,3
92,ye jin yi yuan,100029,1000,800,600,1052075555,116.408331,39.978613,3
93,zhong ri you hao yi yuan,100029,1500,1300,1100,1064221122,116.424955,39.973354,3
94,zhong yi yan jiu yuan wang jing yi yuan,101100,2000,1800,1600,1084739114,116.473297,39.983101,3
95,zuo jia zhuang yi yuan,100028,2500,2300,2100,1084541150,116.440423,39.953187,3
96,shang di yi yuan,100000,3000,2800,2600,1062583071,116.298505,40.023944,3
97,zhong guo hang kong gong ye zhong xin yi yuan,101100,3500,3300,3100,1084931118,116.420922,40.028762,2
98,bei jing yi yuan,100005,4000,3800,3600,1065132266,116.415597,39.903467,3
99,jian guo men yi yuan,100005,4500,4300,4100,1065256218,116.430433,39.914126,3
100,kou qiang yi yuan,100006,5000,4800,4600,1064045142,116.409569,39.916519,3
101,tong ren yi yuan,100005,5500,5300,5100,1065129911,116.417781,39.903198,3
102,xie he yi yuan,100005,6000,5800,5600,1065296114,116.417512,39.91246,3
103,chong wen qu di yi yi yuan,100054,6500,6300,6100,1067212233,116.400582,39.864466,3
104,chong wen qu qian men yi yuan,100062,1000,800,600,1065115387,116.414832,39.890745,3
105,dong hua shi guang hua yi yuan,101100,1500,1300,1100, ,116.447823,39.899313,3
106,dong hua yi yuan,100061,2000,1800,1600,1067116422,116.423876,39.886142,3
107,guang ming yi yuan,100061,2500,2300,2100,1066911789,116.442899,39.885655,3
108,jian an yi yuan,100050,3000,2800,2600,1067051356,116.413108,39.873934,3
109,pu ren yi yuan,100062,3500,3300,3100,1067117711,116.419351,39.894741,3
110,shou yi da fu shu kou qiang yi yuan,100050,4000,3800,3600,1067099114,116.401825,39.877706,3
111,ti yu yi yuan,100061,800,600,400,1067116611,116.42666,39.883755,3
112,shi ji tan yi yuan,100038,2500,2300,2100,1063926022,116.319153,39.900258,3
113,tian tan yi yuan,100050,5000,4800,4600,1067016611,116.401309,39.876812,3
114,chun shu yi yuan,100052,1000,800,600,1063033415,116.381579,39.895512,3
115,shou yi da fu shu you yi yi yuan,100050,3000,2800,2600,1063014411,116.394273,39.886161,3
116,tian qiao yi yuan,100050,1000,800,600,1083137777,116.396563,39.883729,3
117,xuan wu qu zhong yi yuan,100050,1000,800,600,1063038881,116.389632,39.887511,3
118,chao yang qu di er yi yuan,100026,7000,6800,6600,1085993431,116.471603,39.916517,3
119,chao yang qu san huan yi yuan,101100,6000,5800,5600,1067315130,116.463558,39.857959,3
120,chao yang lu guang hua yi yuan,100020,600,400,200,1065062810,116.468536,39.915738,3
121,chui yang liu yi yuan,101100,6000,5800,5600,1067718822,116.459285,39.887654,3
122,nan mo fang yi yuan,101100,500,300,100,1067329039,116.477622,39.882977,3
123,shi ba li dian yi yuan,101100,500,300,100,1067472578,116.479863,39.853436,3
124,shuang jing yi yuan,101100,1500,1300,1100,1067786459,116.465769,39.897078,3
125,shuang long yi yuan,100021,800,600,400,1087321894,116.482119,39.871005,3
126,zhong guo yi xue ke xue yuan zhong liu yi yuan,100021,1000,800,600,1067781331,116.445142,39.873347,3
